#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,
Country,Time,Sector,Total energy,Oil products,Heavy fuel oil,Light fuel oil,Automotive diesel,Unleaded gasoline,Natural gas,Coal,Electricity
,Q4-1979,Real index for industry and households,86.12389426,90.58344144,,,,,86.24918943,74.27606385,88.85580216
,,Real index for industry,76.52752408,72.02500417,66.14175001,78.55050924,76.38544869,,91.55955349,80.79662963,80.95308947
,,Real index for households,96.98401406,101.9620596,,84.98336869,86.50694876,106.3049425,78.51671937,23.98624428,101.3053176
,,Nominal index for industry and households,35.45627485,35.94769424,,,,,33.62431158,41.62429343,38.52396567
,,Nominal index for industry,37.09434366,36.28210815,35.31528164,38.96377769,36.9676184,,39.07499096,45.89872979,40.17464599
,,Nominal index for households,33.60248815,35.74265715,,33.73937406,32.73967006,36.35797637,25.68752708,8.657731836,35.92357123
,Q1-1980,Real index for industry and households,96.59867823,104.9857729,,,,,104.0237514,77.28354557,93.33774065
,,Real index for industry,85.42830636,79.87335795,77.46848304,88.67576598,82.13301255,,112.7234507,83.74747209,87.96850595
,,Real index for households,109.4521595,119.9337837,,92.16043663,91.87738248,126.4140583,90.57482152,25.58307178,101.3690192
,,Nominal index for industry and households,41.86474773,42.67790889,,,,,42.60282947,46.92887069,43.41032063
,,Nominal index for industry,44.24196306,41.99712609,42.38187153,48.41411451,41.31489444,,50.19976554,51.70155311,47.18659993
,,Nominal index for households,39.12934256,43.08314067,,37.90697668,36.18770358,44.53840521,30.8586694,8.755487738,37.76177804
,Q2-1980,Real index for industry and households,97.25244624,106.7481026,,,,,101.4441257,76.11143254,94.05129623
,,Real index for industry,85.26437603,81.02355448,75.16654369,89.24541297,84.53867781,,110.1803341,82.4567555,87.75047007
,,Real index for households,111.0468336,122.0604818,,94.05829813,94.68106501,128.4008817,87.93875602,25.35958653,103.4760453
,,Nominal index for industry and households,43.28001162,44.72915694,,,,,42.73608305,47.36737269,44.75747405
,,Nominal index for industry,45.27012127,43.79107426,43.38726654,49.59435397,43.37935579,,50.294361,52.16622451,48.18492902
,,Nominal index for households,40.99003978,45.2875449,,39.65066813,38.28575642,46.76371322,31.05168487,8.984678864,39.63070143
,Q3-1980,Real index for industry and households,97.53682348,105.4226177,,,,,99.47896691,75.07319323,97.79112766
,,Real index for industry,85.9676754,80.68279376,76.65803549,87.51812629,83.69611547,,107.5134134,81.20416705,91.26881475
,,Real index for households,110.8491671,120.1488459,,92.22410625,93.81047371,126.3750524,87.05845627,26.03577758,107.5471757
,,Nominal index for industry and households,44.0117575,44.60594841,,,,,42.90769209,47.48221567,47.07510702
,,Nominal index for industry,46.16774603,43.64720085,43.26655849,49.53143287,43.28108854,,50.3932991,52.24228925,50.61540421
,,Nominal index for households,41.53091277,45.17663701,,39.150051,38.19329374,46.70031148,31.33563645,9.409682093,41.77954549
,Q4-1980,Real index for industry and households,95.78322079,103.1061826,,,,,98.14619702,74.63152945,95.91947802
,,Real index for industry,85.33863653,81.0196683,79.28423895,87.07071706,83.2144833,,106.5857275,80.65556411,89.30271875
,,Real index for households,107.8015556,116.2530445,,90.60013122,90.72483172,121.9405813,85.09946396,26.4494461,105.8167985
,,Nominal index for industry and households,44.09433465,44.52657103,,,,,43.33274453,47.66290263,47.0667273
,,Nominal index for industry,46.47452008,44.16506525,44.62280279,49.96451962,43.50368066,,51.03766679,52.40686776,50.43385084
,,Nominal index for households,41.35551187,44.74175512,,39.11951849,37.77516529,46.14821975,31.42164781,9.719209396,42.03019819
,Q1-1981,Real index for industry and households,103.5076429,112.1678663,,,,,115.3454344,78.8470328,98.2422944
,,Real index for industry,93.90781955,88.94020641,90.26041308,99.17035727,89.96566871,,127.3069382,85.09074038,93.65786669
,,Real index for households,114.4480887,125.2677575,,98.60874079,93.59295032,130.5874407,96.43231139,27.05212716,104.9802967
,,Nominal index for industry and households,48.74938668,48.77256446,,,,,52.44159206,53.02764389,49.68411038
,,Nominal index for industry,52.3008904,48.65868063,49.63931932,57.8409138,48.10571594,,62.53513207,58.20288136,54.23780988
,,Nominal index for households,44.70191281,48.83679245,,43.74772593,39.37773576,50.0658276,36.48202994,10.09627132,42.9912711
,Q2-1981,Real index for industry and households,104.5945554,114.0811454,,,,,112.8695007,78.94087949,99.40997633
,,Real index for industry,94.77005837,92.14812632,93.81157297,101.322667,93.62327259,,124.5501908,85.33783015,93.32121262
,,Real index for households,115.7910507,126.4508875,,101.4834589,99.66982152,131.2575223,94.40039079,25.87474021,108.3589895
,,Nominal index for industry and households,50.26283525,50.83288589,,,,,52.55674191,53.60285483,51.05332514
,,Nominal index for industry,53.68379753,51.18843974,52.17985927,59.90672008,51.01680594,,62.63191563,58.85625643,55.01283861
,,Nominal index for households,46.36413304,50.63236131,,45.67272498,42.71837948,51.72464406,36.62621995,10.02306886,45.23379592
,Q3-1981,Real index for industry and households,104.6589229,112.0749927,,,,,112.1922796,81.3442867,103.152882
,,Real index for industry,95.33237955,90.5250704,89.5660802,99.88286067,92.63701416,,124.0993723,87.99379651,96.99174122
,,Real index for households,115.287925,124.2286766,,103.138648,98.21230689,128.3234468,93.36518967,26.1830337,112.208272
,,Nominal index for industry and households,51.34106486,51.43976204,,,,,53.07683238,55.08961144,53.51699801
,,Nominal index for industry,54.70420489,51.55848483,51.3592953,59.9235499,51.78548335,,63.11996935,60.47914348,57.41907704
,,Nominal index for households,47.50825982,51.37280499,,47.98511669,43.6260515,52.20346672,37.19696583,10.38055036,47.78188356
,Q4-1981,Real index for industry and households,103.5202418,111.0587346,,,,,110.7183742,81.53165246,101.4873052
,,Real index for industry,94.59455248,90.53977055,89.0564498,99.60026179,92.8051677,,122.9703535,88.09075053,95.37061044
,,Real index for households,113.6924102,122.6309807,,102.6192976,98.40530018,126.6441567,91.34596135,27.1204134,110.4773703
,,Nominal index for industry and households,51.51928861,51.77449027,,,,,53.14796782,55.60898087,53.42415633
,,Nominal index for industry,54.91157793,52.11630767,51.43848492,60.34429021,52.52508774,,63.34143905,60.98626094,57.2304511
,,Nominal index for households,47.65326355,51.58171275,,48.61770226,44.47989288,52.3920812,37.03039785,11.00155645,47.82982162
,Q1-1982,Real index for industry and households,105.6143457,110.4409528,,,,,127.0128835,86.12146056,103.3805404
,,Real index for industry,97.76520261,90.64134999,85.26743572,105.6934173,92.32781302,,141.2034742,94.63521979,98.75476918
,,Real index for households,113.8299108,121.0471321,,106.5588666,96.08494309,124.1979577,107.7362261,25.24186504,109.5678969
,,Nominal index for industry and households,52.80419325,51.78628049,,,,,60.85611179,62.06254012,54.15044113
,,Nominal index for industry,57.60266808,53.40133009,51.49140782,66.32175096,52.38761942,,73.48994452,69.30872078,58.76191783
,,Nominal index for households,47.78171102,50.92113659,,51.25178738,43.22740267,51.29302724,43.69417186,10.24705699,47.98220466
,Q2-1982,Real index for industry and households,102.6181289,103.6479591,,,,,126.9356289,86.36458642,105.0943918
,,Real index for industry,96.01185793,86.19548835,85.45483369,98.67326214,86.13438466,,141.8516041,95.08001064,99.64172516
,,Real index for households,109.5328007,112.9968352,,99.51667996,90.74959152,115.8098307,106.673601,24.0429389,112.3877903
,,Nominal index for industry and households,52.11784212,49.58795436,,,,,61.51569384,62.43824306,55.50253814
,,Nominal index for industry,57.06368236,51.40359136,52.0281183,62.97329368,49.43311895,,74.36549492,69.76063792,59.638093
,,Nominal index for households,46.94111501,48.61536053,,48.71639692,41.68769263,48.94572123,44.06038009,10.0777728,49.97088699
,Q3-1982,Real index for industry and households,104.9757992,107.3835956,,,,,125.6919536,85.68708465,107.2310159
,,Real index for industry,97.48524766,88.65296608,85.5160913,101.2417638,89.85768987,,140.0261482,94.24956851,101.4368803
,,Real index for households,112.8160325,117.4171511,,101.69257,93.51729247,120.4878521,106.2202232,24.45907239,114.9811577
,,Nominal index for industry and households,54.00487331,52.28228239,,,,,61.73372652,62.4501538,57.18866074
,,Nominal index for industry,58.49493001,53.4637256,52.54723342,64.86405771,52.32174518,,74.27626577,69.73706737,61.17973368
,,Nominal index for households,49.30520709,51.64941119,,50.84081421,43.78997623,52.07259219,44.69580069,10.34340065,51.85026628
,Q4-1982,Real index for industry and households,104.7327703,107.3375703,,,,,125.3100689,84.9530322,106.4347637
,,Real index for industry,97.88158773,90.71116876,87.73292436,103.365969,91.65547316,,140.1047716,93.33076394,100.3819429
,,Real index for households,111.903787,116.2439407,,108.8088714,95.13247607,118.1638717,105.212779,25.04613255,114.5309187
,,Nominal index for industry and households,54.45316844,52.9143679,,,,,62.17012395,62.41496604,57.32528271
,,Nominal index for industry,59.28137765,55.08400002,54.43559252,66.7713107,53.71318796,,75.14830934,69.64642213,61.26716354
,,Nominal index for households,49.39956372,51.75214725,,54.89532044,44.87152676,51.64856549,44.54041152,10.70477438,52.0526868
,Q1-1983,Real index for industry and households,103.5302012,103.0236047,,,,,138.3072857,81.1723505,106.0286693
,,Real index for industry,97.38833907,85.9211498,85.16653222,95.69120391,86.49363244,,151.9661718,88.8823283,102.2254085
,,Real index for households,109.8598475,111.8723142,,102.9901178,93.43392416,113.6369944,119.3735116,24.95059127,111.0985034
,,Nominal index for industry and households,53.30641759,50.22985219,,,,,67.79531042,57.10181124,57.30628964
,,Nominal index for industry,58.19032464,51.99796182,52.78010347,61.94300439,50.61021642,,80.28463169,63.44037436,62.12810185
,,Nominal index for households,48.2731877,49.31504267,,52.61494356,43.80751335,49.04686515,50.48277214,10.88051478,50.87870301
,Q2-1983,Real index for industry and households,101.7923895,101.3500183,,,,,134.9713433,79.90501127,104.988573
,,Real index for industry,93.63109578,80.8526805,82.8481025,90.1981756,80.25003214,,147.0321242,87.60199155,99.81002297
,,Real index for households,110.2032103,111.9552203,,94.0350744,93.49821074,115.0986529,118.2528422,23.77803097,111.8916994
,,Nominal index for industry and households,52.72535034,49.52649841,,,,,66.67369643,56.58024623,57.24306826
,,Nominal index for industry,56.38272153,49.09013587,50.788122,59.25114107,47.16191235,,78.17841119,62.8842098,61.24975066
,,Nominal index for households,48.956157,49.75226981,,48.35926166,43.96727369,50.18451702,50.72600717,10.6112523,51.90206842
,Q3-1983,Real index for industry and households,102.6046477,101.6981604,,,,,133.4279305,79.15538584,107.4085849
,,Real index for industry,93.74535616,80.89947217,82.58870585,89.96219074,80.6796487,,144.5381941,86.71347073,100.8437401
,,Real index for households,111.7348073,112.4592792,,93.57579967,91.64118911,115.7062836,118.0270246,24.0412415,116.1596741
,,Nominal index for industry and households,53.57542359,50.11581545,,,,,66.5800686,56.41600918,58.86397521
,,Nominal index for industry,56.8649372,49.34883419,50.41340534,59.64053412,47.72596954,,77.59814235,62.65777301,62.30734323
,,Nominal index for households,50.18533485,50.51264704,,48.32289779,43.5921523,51.04364753,51.30695493,10.90058065,54.2738864
,Q4-1983,Real index for industry and households,101.4378616,100.1559339,,,,,132.4931963,78.21545665,106.2316232
,,Real index for industry,93.63411941,81.73766931,85.803583,90.63418791,81.1121236,,144.4961253,85.53839599,99.59889148
,,Real index for households,109.480199,109.6854356,,94.21311357,91.76270168,112.360242,115.8548888,24.81601198,115.0732072
,,Nominal index for industry and households,53.73492253,50.30781715,,,,,66.71122371,56.42125754,58.88836118
,,Nominal index for industry,57.45057026,50.64823954,53.83144406,60.50084212,48.62353287,,78.13831028,62.59635944,62.25206462
,,Nominal index for households,49.90567087,50.13168461,,49.32607412,44.20017366,50.4267257,50.87114166,11.391933,54.40446711
,Q1-1984,Real index for industry and households,100.5416088,99.250496,,,,,131.460163,76.57668408,104.0342175
,,Real index for industry,94.67533495,82.70123958,87.74872752,90.39805174,81.73970595,,146.564129,83.06827984,98.92903321
,,Real index for households,106.7528329,107.9552604,,98.29443705,91.91756522,109.9420503,111.0970745,23.94996339,111.0445846
,,Nominal index for industry and households,53.92767458,50.19265953,,,,,67.22620077,55.84674441,58.31043137
,,Nominal index for industry,58.29722538,51.01625648,54.57574938,59.48549074,49.33991905,,79.78787838,61.36201128,62.1094657
,,Nominal index for households,49.30118419,49.75945472,,52.32472134,44.62407733,49.58178987,50.29061221,11.13502495,53.09365098
,Q2-1984,Real index for industry and households,100.9074853,98.43752956,,,,,135.8207121,75.92279716,105.369976
,,Real index for industry,94.16452038,81.38576259,88.41852105,88.10209311,80.02892363,,150.9527186,82.3917395,98.29205035
,,Real index for households,108.0469519,107.4066101,,95.59726159,90.99111752,109.7534092,115.4198194,23.47972559,115.0892836
,,Nominal index for industry and households,54.49694469,50.20582636,,,,,69.92794044,55.71330374,59.33444995
,,Nominal index for industry,58.36253438,50.57139866,55.35255842,58.59802113,48.58905394,,82.67207234,61.21488566,62.14999359
,,Nominal index for households,50.40404948,50.01353852,,51.26623572,44.57525557,50.0545563,52.74636795,11.11252679,55.46818511
,Q3-1984,Real index for industry and households,101.0713507,96.26666769,,,,,138.442315,76.87299122,107.8605768
,,Real index for industry,94.04664842,80.42666619,88.05289901,86.62293133,78.97178745,,146.4694946,83.48405406,100.4091195
,,Real index for households,108.5091215,104.5983702,,93.2730251,89.02904105,106.7766519,127.6201132,23.27776287,118.0928128
,,Nominal index for industry and households,54.93922598,49.66536619,,,,,71.21330994,56.26197469,60.90910107
,,Nominal index for industry,58.51469256,50.26372785,55.39594248,58.06236924,48.18095731,,80.51887941,61.82810074,63.52699533
,,Nominal index for households,51.15351376,49.35063319,,50.46967427,44.08967741,49.36686851,58.66758948,11.13794492,57.31424558
,Q4-1984,Real index for industry and households,100.244133,97.11470694,,,,,135.3696815,76.49558515,105.4090592
,,Real index for industry,94.79473402,81.79370163,91.46523563,87.49984772,80.0368562,,151.3120696,82.96027569,99.70176892
,,Real index for households,106.0139691,105.173422,,97.28332505,91.44447154,106.922143,113.8762368,24.08698242,113.2462297
,,Nominal index for industry and households,55.12267846,50.77200141,,,,,70.6301569,56.3057054,60.16278028
,,Nominal index for industry,59.34087239,51.5855859,58.28379847,59.05922909,49.21262166,,83.70118943,61.81696442,63.42265577
,,Nominal index for households,50.65644506,50.34406307,,53.27688614,45.76327328,50.13436476,53.00785869,11.62647715,55.68636523
,Q1-1985,Real index for industry and households,98.52615489,94.9015875,,,,,131.347461,77.81547043,104.8227923
,,Real index for industry,94.53169522,80.73464835,95.52867714,87.18763635,78.04766465,,149.81073,84.18217654,100.8282175
,,Real index for households,102.6519902,102.1197586,,103.4331597,90.96933373,102.7568706,107.5329306,30.7926062,110.209245
,,Nominal index for industry and households,54.40211015,49.78314199,,,,,68.68194957,57.20623629,60.09313624
,,Nominal index for industry,59.28662158,50.96729509,60.67416928,58.70116995,48.36970787,,82.67330647,63.25883871,64.13735356
,,Nominal index for households,49.3569497,49.17980631,,57.37771423,45.52938732,48.15058084,50.63543815,12.50326167,54.63974353
,Q2-1985,Real index for industry and households,99.16125165,97.3685179,,,,,128.4995617,76.71264222,103.9791385
,,Real index for industry,92.70493627,80.31089693,86.70770388,86.53545616,79.37152437,,139.0707402,83.09331061,99.34400894
,,Real index for households,105.8299118,106.059515,,97.49984339,90.7169804,107.9849024,114.8645086,29.58665619,110.2293422
,,Nominal index for industry and households,55.04449942,51.40763555,,,,,67.47091254,56.01312145,60.11115709
,,Nominal index for industry,58.45621727,50.75683317,55.25986083,58.33650694,49.17677812,,77.41414286,61.93806856,63.63818667
,,Nominal index for households,51.52057195,51.73922468,,54.53200418,45.85382471,51.37980313,54.64580765,12.25297631,55.35516207
,Q3-1985,Real index for industry and households,99.19484233,94.51091949,,,,,132.595762,75.08538225,107.4369654
,,Real index for industry,91.77772423,76.56763296,80.54616514,83.10058342,75.7934654,,140.4888767,81.23652972,100.967805
,,Real index for households,106.8559055,103.6531704,,92.92709457,87.25550592,106.0225517,122.4149634,29.65457908,116.1602533
,,Nominal index for industry and households,55.02458998,49.95043879,,,,,69.53706822,54.13121164,61.89789088
,,Nominal index for industry,57.73336261,48.32514638,51.12268385,56.41500612,46.78781573,,78.12327923,59.78879183,64.47109118
,,Nominal index for households,52.22672724,50.77853853,,52.2743888,44.21340011,50.69165349,58.46229139,12.34577018,58.42807939
,Q4-1985,Real index for industry and households,97.72922208,94.48105076,,,,,124.3273763,72.86894005,104.9547951
,,Real index for industry,92.82407439,80.37738827,78.02627941,88.24646914,81.3930714,,137.2340151,78.57007904,100.1327881
,,Real index for households,102.7956975,101.6669819,,96.91438936,89.85447816,103.1053089,107.67997,30.76178446,111.456992
,,Nominal index for industry and households,54.72225397,50.44695191,,,,,66.16525626,51.43410336,61.07121553
,,Nominal index for industry,58.4698993,50.53455935,49.36137925,59.56031318,50.05965571,,77.07423627,56.64094771,64.26256137
,,Nominal index for households,50.85135054,50.40231521,,54.65321469,45.80746304,49.91150175,52.09449572,12.97768163,56.7678706
,Q1-1986,Real index for industry and households,91.20447522,85.23530488,,,,,118.5647208,69.75927469,103.6701811
,,Real index for industry,85.56473649,67.35128876,68.22098547,68.78776244,67.36457332,,134.0672185,75.24375432,99.75863921
,,Real index for households,96.86790798,94.5677614,,80.74259448,78.93990907,97.19778966,99.46660215,31.84851923,108.7499558
,,Nominal index for industry and households,49.87095969,44.53606285,,,,,61.55635571,46.79607838,58.94573215
,,Nominal index for industry,52.03883045,40.71347113,41.07049462,43.99916666,40.14867301,,72.24753086,51.70237449,61.99076273
,,Nominal index for households,47.69398113,46.53081452,,45.65758065,39.30484087,46.6967014,48.38548905,12.88194165,54.9912637
,Q2-1986,Real index for industry and households,84.59022021,73.52673388,,,,,111.8553596,66.8132422,103.465451
,,Real index for industry,79.76678556,58.24658858,51.71763287,61.03323978,59.3719476,,117.5521118,72.01622118,99.80703427
,,Real index for households,89.43391937,81.50040661,,68.14875697,71.07935368,83.5698574,104.8373132,30.8483236,108.2165013
,,Nominal index for industry and households,46.28092556,38.52581606,,,,,57.44330776,43.70016256,58.63798684
,,Nominal index for industry,48.29072128,34.98898586,29.98648544,39.26190246,35.24674837,,62.75631361,48.21388403,61.48658925
,,Nominal index for households,44.26268616,40.37144816,,38.71498719,35.53851053,40.42363986,50.8980131,12.49964725,54.93861236
,Q3-1986,Real index for industry and households,81.713516,67.74618011,,,,,110.9977676,65.02987522,103.3343931
,,Real index for industry,76.99308922,53.61008282,44.48408537,56.04749783,55.25807468,,108.9876504,69.94732603,99.97816998
,,Real index for households,86.45377454,75.12285168,,57.65526961,65.44479201,77.52811054,113.4741076,31.03863309,107.6929957
,,Nominal index for industry and households,44.74377461,35.47577006,,,,,56.88986857,41.40569815,58.69510662
,,Nominal index for industry,46.44926819,31.78524801,24.42956672,36.30097804,32.47774265,,58.27184015,45.57044826,61.466035
,,Nominal index for households,43.03111582,37.40160351,,32.6654137,32.77419339,37.78402593,55.18736504,12.61740217,55.09660454
,Q4-1986,Real index for industry and households,79.97606254,65.79557318,,,,,105.7725211,64.40040808,103.0332184
,,Real index for industry,76.65073316,52.17128285,45.94287752,54.83801299,53.19971327,,112.357368,69.16923281,100.0625556
,,Real index for households,83.3153625,72.90516737,,56.06870966,63.94217659,75.18249815,97.66039677,31.4365245,106.8911082
,,Nominal index for industry and households,44.14793426,34.65634434,,,,,55.04554203,41.26213052,58.86890559
,,Nominal index for industry,46.44377561,30.94672591,25.04653958,35.84969428,31.30772569,,60.71251847,45.35743703,61.76962297
,,Nominal index for households,41.84244748,36.5921429,,31.65313845,32.16040296,37.00065715,48.06417749,12.95385445,55.10185134
,Q1-1987,Real index for industry and households,81.60885263,71.31487123,,,,,104.278509,61.68086546,100.3986635
,,Real index for industry,78.89705707,57.65318404,51.77895732,56.74570322,59.46209867,,116.2291663,66.42605263,98.72490055
,,Real index for households,84.33850806,78.3992207,,60.03172323,67.90157324,80.82664699,88.83918942,30.51125573,102.5678124
,,Nominal index for industry and households,44.27755705,37.02380148,,,,,53.86584595,37.43699734,56.95289735
,,Nominal index for industry,46.33526508,33.22823311,27.36733206,34.43555265,34.5377026,,61.59644791,41.40520378,59.87646288
,,Nominal index for households,42.20629696,38.99201612,,33.62148828,33.92533032,39.46038374,43.87850967,11.37112439,53.16403989
,Q2-1987,Real index for industry and households,81.09548477,71.59813487,,,,,98.72406878,58.1288045,100.1119716
,,Real index for industry,75.97122602,56.49960959,51.90068167,55.88414,58.11638394,,101.7269354,62.47858274,96.26684826
,,Real index for households,86.25349187,79.42756531,,59.08430148,67.3530317,82.08599654,94.84459874,29.55650898,105.0951417
,,Nominal index for industry and households,44.77519684,38.05062039,,,,,51.55173519,35.22644653,57.64687461
,,Nominal index for industry,45.68172967,33.62323732,29.30282009,34.52439905,34.69444885,,54.85824417,38.90711153,59.63434108
,,Nominal index for households,43.86269359,40.34646633,,33.51276957,34.26785321,40.99253162,47.27998284,11.04934087,55.07117482
,Q3-1987,Real index for industry and households,82.33724017,72.66958122,,,,,100.2483848,58.35201233,101.5737262
,,Real index for industry,76.12895289,56.74294323,53.63139915,56.20671021,58.24222868,,97.58215251,62.7778104,97.57727842
,,Real index for households,88.5864152,80.92843445,,61.68398403,67.62994188,83.60272353,103.6929495,29.28036696,106.7530084
,,Nominal index for industry and households,45.92377157,39.08350124,,,,,52.81970595,36.03655107,58.94161188
,,Nominal index for industry,46.34488915,34.24068069,31.05466566,35.25520534,35.15048143,,53.43899504,39.86176275,60.90262597
,,Nominal index for households,45.4998805,41.59477475,,35.13807631,34.80189741,42.29473549,52.01963263,10.90996474,56.4001936
,Q4-1987,Real index for industry and households,80.04150148,71.2911407,,,,,94.76978294,56.59129653,98.62629689
,,Real index for industry,75.35783815,56.51552761,49.44720421,56.18357354,58.74124,,100.3876146,60.70236807,95.23016075
,,Real index for households,84.7560114,78.9531231,,60.29683676,67.28509663,81.46117794,87.51198156,29.58698858,103.0275924
,,Nominal index for industry and households,45.13342417,38.68926415,,,,,50.81256512,34.85191768,57.88589399
,,Nominal index for industry,46.27098765,34.29020805,28.7148264,35.55151329,35.58825803,,55.69840417,38.45709863,60.07317991
,,Nominal index for households,43.98836869,40.97042096,,34.37723688,34.79663023,41.66057663,44.50044118,11.1706425,55.05123388
,Q1-1988,Real index for industry and households,78.00286668,67.9276805,,,,,97.80832604,56.62937698,97.15525266
,,Real index for industry,74.47829989,53.53606257,44.32331617,51.05100719,55.99894382,,108.0152967,61.12610212,94.83640398
,,Real index for households,81.64192754,75.58129645,,56.44170747,65.3634865,77.86184342,84.32799459,23.04099462,100.2247638
,,Nominal index for industry and households,43.83863486,36.79930267,,,,,52.27037171,34.21133546,56.81073492
,,Nominal index for industry,45.16043496,32.30462313,25.3325708,32.31869146,33.77545595,,59.31489362,37.37673887,59.16257745
,,Nominal index for households,42.47389663,39.18962119,,32.17291345,34.10424508,39.77229766,42.96668177,10.56728853,53.69754905
,Q2-1988,Real index for industry and households,77.9381471,68.28286617,,,,,94.34141451,55.22107271,97.1912066
,,Real index for industry,72.11280495,53.05471674,43.42398348,51.30263436,55.65693107,,96.11053267,59.63387498,92.26020489
,,Real index for households,83.95272305,76.3813585,,55.86057795,64.45684559,78.88557163,92.00494269,22.25955392,103.7184824
